iter	Passed	Remaining
0	192	38357
1	304	30161
2	366	24059
3	415	20367
4	467	18232
5	515	16663
6	569	15691
7	624	14999
8	679	14413
9	738	14036
10	794	13644
11	852	13353
12	905	13030
13	953	12662
14	1003	12374
15	1055	12135
16	1114	11998
17	1169	11825
18	1224	11660
19	1273	11457
20	1321	11264
21	1373	11112
22	1421	10935
23	1468	10771
24	1517	10620
25	1567	10487
26	1614	10347
27	1666	10238
28	1714	10111
29	1764	9997
30	1817	9906
31	1870	9818
32	1920	9719
33	1969	9615
34	2016	9504
35	2063	9400
36	2112	9304
37	2160	9210
38	2210	9125
39	2265	9063
40	2318	8992
41	2371	8922
42	2421	8842
43	2476	8779
44	2532	8723
45	2584	8651
46	2628	8557
47	2674	8468
48	2718	8376
49	2771	8314
50	2818	8234
51	2869	8166
52	2916	8090
53	2963	8011
54	3008	7930
55	3052	7848
56	3100	7778
57	3145	7700
58	3190	7624
59	3234	7546
60	3279	7472
61	3324	7400
62	3365	7319
63	3412	7252
64	3463	7193
65	3509	7125
66	3555	7057
67	3601	6990
68	3649	6928
69	3702	6876
70	3750	6814
71	3798	6752
72	3851	6700
73	3907	6652
74	3973	6622
75	4041	6594
76	4113	6571
77	4197	6564
78	4286	6565
79	4449	6673
80	4537	6665
81	4591	6606
82	4648	6552
83	4706	6499
84	4755	6434
85	4809	6375
86	4858	6310
87	4910	6249
88	4965	6192
89	5014	6128
90	5069	6072
91	5117	6007
92	5165	5942
93	5210	5875
94	5292	5849
95	5368	5816
96	5429	5765
97	5483	5706
98	5543	5655
99	5607	5607
100	5690	5577
101	5755	5529
102	5835	5495
103	5923	5467
104	6019	5445
105	6084	5395
106	6174	5366
107	6257	5330
108	6378	5324
109	6464	5288
110	6526	5232
111	6583	5172
112	6639	5111
113	6694	5050
114	6750	4989
115	6807	4929
116	6859	4866
117	6910	4802
118	6963	4739
119	7022	4681
120	7073	4617
121	7124	4555
122	7172	4489
123	7221	4426
124	7280	4368
125	7329	4304
126	7378	4241
127	7432	4180
128	7483	4118
129	7528	4053
130	7579	3992
131	7634	3933
132	7697	3877
133	7754	3819
134	7809	3760
135	7861	3699
136	7918	3641
137	7966	3579
138	8017	3518
139	8066	3456
140	8113	3394
141	8158	3332
142	8203	3270
143	8255	3210
144	8298	3147
145	8343	3086
146	8388	3024
147	8443	2966
148	8491	2906
149	8539	2846
150	8586	2786
151	8629	2725
152	8675	2665
153	8719	2604
154	8762	2544
155	8806	2483
156	8851	2424
157	8897	2365
158	8940	2305
159	8982	2245
160	9025	2186
161	9069	2127
162	9112	2068
163	9155	2009
164	9206	1952
165	9258	1896
166	9308	1839
167	9371	1784
168	9427	1729
169	9478	1672
170	9535	1617
171	9598	1562
172	9663	1508
173	9737	1455
174	9819	1402
175	9876	1346
176	9931	1290
177	9983	1233
178	10043	1178
179	10096	1121
180	10151	1065
181	10207	1009
182	10259	953
183	10312	896
184	10370	840
185	10420	784
186	10476	728
187	10523	671
188	10566	614
189	10609	558
190	10654	502
191	10696	445
192	10739	389
193	10789	333
194	10838	277
195	10894	222
196	10941	166
197	10990	111
198	11045	55
199	11093	0
